vote_count,id,video,vote_average,title,popularity,poster_path,original_language,original_title,genre_ids,backdrop_path,adult,overview,release_date,release_year
1098,228970,FALSE,7,Wild,14.706561,/zpdwj7Q8ZdTX2bWbltCFjVwugJu.jpg,en,Wild,18,/pl6mEeLTI4IRnjbBGTMrJSBoYsU.jpg,FALSE,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,2014-12-05,2014
578,72784,FALSE,6.4,The Loft,14.469228,/9hE6vesQoSREyvJha9z0g5OryHH.jpg,en,The Loft,53,/j7qWyikT1eKNezNKxqPkkC8lKz8.jpg,FALSE,"For five men, the opportunity to share a penthouse in the city -- in which to carry on extramarital affairs -- is a dream come true, until the dead body of an unknown woman turns up. Realizing that her killer must be one of their group, the men are gripped by paranoia as each one suspects another. Friendships are tested, loyalties are questioned, and marriages crumble while fear and suspicion run rampant.",2014-10-14,2014
2067,250546,FALSE,5.5,Annabelle,14.12115,/yAgxM61Sn0dYML4C9v3MJFp5zPI.jpg,en,Annabelle,27,/8pCFurneAWouGbBMEoBHqU1ejbb.jpg,FALSE,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle.",2014-10-02,2014
635,241239,FALSE,6.5,A Most Violent Year,14.11297,/7xvfhwi1RjF27z3TfaJFAsIaO3x.jpg,en,A Most Violent Year,80|18|53,/cPg2OJ56J6p0da12Hez5u5iiFd6.jpg,FALSE,"A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.",2014-12-30,2014
2122,200727,FALSE,7.8,"Love, Rosie",14.020209,/qGYr7P3s0gx5YLvrILnbAkpTt1K.jpg,en,"Love, Rosie",35|10749,/hLFp6unynz4cBa6BJwrH0s27vn9.jpg,FALSE,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?  Based on Cecelia Ahern's bestselling novel, LOVE, ROSIE is a heart-warming, modern comedy-of-errors posing the ultimate question: do we really only get one shot at true love?",2014-10-16,2014
1138,68737,FALSE,5.2,Seventh Son,13.7331,/A3SBRfCSgKNcW2IkbaaOgugLwRt.jpg,en,Seventh Son,12|14,/lNnrr7OR7dkqfgIyju8nUJHcf8x.jpg,FALSE,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",2014-12-12,2014
3899,187017,FALSE,6.9,22 Jump Street,13.690392,/gNlV5FhDZ1PjxSv2aqTPS30GEon.jpg,en,22 Jump Street,80|35|28,/9NmTVqQ9f2ltecPZgXIj4Bk2c6s.jpg,FALSE,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",2014-06-05,2014
389,227783,FALSE,5.6,The Nut Job,13.594992,/rXdSfDu08cs0fU9S6l3AK1bJqy8.jpg,en,The Nut Job,16|35|10751|12,/TCtQLLO9PRqCcPCFgpx77a3Pct.jpg,FALSE,"Surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. Lucky for him, he stumbles on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - Maury's Nut Store.",2014-01-17,2014
2699,157353,FALSE,5.9,Transcendence,13.550122,/4eESVBvr7KEvPGUZVL5LDWsANda.jpg,en,Transcendence,53|878|18|9648,/oZY3DOlEZbEZvRxWynWkFTe4UgE.jpg,FALSE,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.",2014-04-16,2014
2220,227156,FALSE,6.4,The Giver,13.368375,/4g19qQ4pfQz6nlVctA0q3y7Dieg.jpg,en,The Giver,18|878,/qqK1tYQieFylsbtYtHLs9CI48IY.jpg,FALSE,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",2014-08-11,2014
1311,97370,FALSE,6,Under the Skin,13.264619,/vYbCF0Hn6f4kVtOtVF3FiktiiXd.jpg,en,Under the Skin,53|878|18,/cGOnS9rVOPXsyUwVUfTQP5yi3Ti.jpg,FALSE,A seductive alien prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,2014-03-14,2014
929,256274,FALSE,6.2,"As Above, So Below",13.157046,/rXhroOVTfR4Dde7Vci2L3FVGAZh.jpg,en,"As Above, So Below",27|53,/lzkZ0BA4XG30nuN4UgUyctuj3Fo.jpg,FALSE,"When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",2014-08-14,2014
396,113833,FALSE,8,The Normal Heart,13.104718,/fIf4nLpWHK8BsbH76fPgMbLSjuU.jpg,en,The Normal Heart,18,/i5r9aTDKo1y6paUX1PHsPhZstZk.jpg,FALSE,"The story of the onset of the HIV-AIDS crisis in New York City in the early 1980s, taking an unflinching look at the nation's sexual politics as gay activists and their allies in the medical community fight to expose the truth about the burgeoning epidemic to a city and nation in denial.",2014-05-25,2014
1330,137094,FALSE,5.9,Jack Ryan: Shadow Recruit,12.855344,/jBibISmRBUO35p0Picv0nOo33sc.jpg,en,Jack Ryan: Shadow Recruit,28|18|53,/wZZf8wv14W2tQL4X2SjOv5A9Drg.jpg,FALSE,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",2014-01-15,2014
1252,225565,FALSE,6.1,That Awkward Moment,12.739199,/lvj2Nqr9RLA6ichyui5Th8oZq5s.jpg,en,That Awkward Moment,35|10749,/xeGoXLDGgXGKH5nDHvuGNSFQsbv.jpg,FALSE,"Best pals Jason and Daniel indulge in casual flings and revel in their carefree, unattached lives. After learning that the marriage of their friend Mikey is over, they gladly welcome him back into their circle. The three young men make a pact to have fun and avoid commitment. However, when all three find themselves involved in serious relationships, they must keep their romances secret from one another.",2014-01-29,2014
430,284276,FALSE,6.2,Cake,12.680558,/pU3BusgT96dWUM6O9uOKwpuRI4w.jpg,en,Cake,18,/iGRutrtJcsdk5y3xvVU8WewSowZ.jpg,FALSE,"After having visions of a member of her support group who killed herself, a woman who also suffers with chronic pain seeks out the widower of the suicide.",2014-09-07,2014
787,170687,FALSE,6.6,The Boxtrolls,12.604936,/82BWSf1NfCm18ZJtAOIym1QRd24.jpg,en,The Boxtrolls,16|35|10751|14,/yFtr1BD7AHeruIm9jsVnoebEN2v.jpg,FALSE,"An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher.",2014-09-10,2014
1771,249164,FALSE,7.3,If I Stay,12.58218,/isUQKy3cdfN62DfIp0dhl4hD5oc.jpg,en,If I Stay,18,/jKDkvAGTBN7rSkuYfsn9XHKdKqz.jpg,FALSE,"Based on Gayle Forman's novel of the same name. ""If I Stay"" is the story of the gifted classical musician Mia and her boyfriend, Adam, an up and coming indie-rock star. Torn between two paths in life, her art or her relationship, Mia is forced to make an even starker choice between life and death when she is caught in a fatal car accident with her family one snowy morning in Oregon.",2014-08-21,2014
468,244506,FALSE,6.7,Camp X-Ray,12.570114,/oGcmIqOAbV8npgY57u7tqzwPgc.jpg,en,Camp X-Ray,18,/rxCP7AzykrjPeoTmYOFvFQDKnrV.jpg,FALSE,"A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead, she ends up as a new guard at Guantanamo Bay, where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates, she strikes up an unusual friendship with one of the detainees.",2014-10-17,2014
156,255157,FALSE,5.4,The Forger,12.479756,/kDeZdsXON4TW6n6U1epw8f1vrIz.jpg,en,The Forger,53|80|18,/jFKuLmv8oKQsqHJx8Zqs99EIxOj.jpg,FALSE,"A former child art prodigy and second generation petty thief arranges to buy his way out of prison to spend time with his ailing son, only to be forced to alter his plans and commit one more job for the man who financed his release.",2014-09-10,2014
248,241254,FALSE,4.6,The Prince,12.431195,/y7jSioitJoolDvn29D0yLJLCk30.jpg,en,The Prince,53|28,/bnACOELViX2XwXjqzC8V5TclrPY.jpg,FALSE,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.,2014-08-22,2014
1315,244267,FALSE,7.5,I Origins,12.378732,/wyC666XyqCGlPEkmS7JkvoWYduF.jpg,en,I Origins,878|18,/1IfS3Y7D6ITaXU2pHKuxHuFyW3G.jpg,FALSE,"I Origins follows a molecular biologist studying the evolution of the human eye.  He finds his work permeating his life after a brief encounter with an exotic young woman who slips away from him.  As his research continues years later with his lab partner, they make a stunning scientific discovery that has far reaching implications and complicates both his scientific and and spiritual beliefs.  Traveling half way around the world, he risks everything he has ever known to validate his theory.",2014-07-18,2014
823,197796,FALSE,5.8,Beauty and the Beast,12.321051,/hwkx33tAJ1SvLa6RK303JzqKv5Y.jpg,fr,La Belle et la Bête,14|10749,/4EZ2YaCkVD1nQNu8TDxl2H3dk2b.jpg,FALSE,"Beauty and the Beast is the adaptation of a story by Madame de Villeneuve. Published anonymously in 1740 as La Jeune Américaine et les contes marins, it paints a portrait of Belle, a joyful and touching young girl who falls in love with the Beast, a cursed creature in search of love and redemption. In 1760, a condensed children’s version was published. It was from this version that Jean Cocteau and then Walt Disney drew their famous adaptations. Overshadowed, the original version by Madame de Villeneuve has never been adapted for the screen... until now!",2014-02-12,2014
775,241848,FALSE,6.5,The Guest,12.251427,/xxSuU7Q9ZmPjw9TNQ1WzmHVAxBI.jpg,en,The Guest,9648|53|28,/dQ1eV5vn9794wsdpqe7QGK4Yo99.jpg,FALSE,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",2014-09-17,2014
2327,242224,FALSE,6.5,The Babadook,12.157273,/4zPxsfmeNX438gf77hjb9eYGiLh.jpg,en,The Babadook,18|53|27,/pJ10mpKs2mM2AXTUOmM4yl5PJi8.jpg,FALSE,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.",2014-05-22,2014
1327,262391,FALSE,6.8,Serial (Bad) Weddings,12.130371,/tySb2K0Qr8YS9M8JqCHG82sWXkf.jpg,fr,Qu'est-ce qu'on a fait au Bon Dieu,35,/umRJ4di4xbpv6jAddHczdt1723S.jpg,FALSE,A catholic French couple sees their life upside down when their four daughters get married to men of different religion and origins.,2014-04-16,2014
1788,136797,FALSE,6.1,Need for Speed,12.069793,/lN0mP3BNaKirkKl6FJ0yL0wmjSJ.jpg,en,Need for Speed,28|80|18|53,/kiLEAfRQhs93r3tSsQFpD2EpbyR.jpg,FALSE,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",2014-03-13,2014
921,216282,FALSE,5.8,Into the Storm,12.062996,/dtuyhlOtqj8zPPFgTgWJ0bF3s2h.jpg,en,Into the Storm,28|53,/i0umpdqVURR1VZFX67QGJEXKvLe.jpg,FALSE,"The town of Silverton is in one day destroyed by the unprecedented power of a series of tornadoes. The population is at the mercy of the unpredictable and deadly cyclones, while hunters warn that the worst is yet to come. Most people find shelter, but some just go to the tornado for that one, unique shot.",2014-08-06,2014
4414,216015,FALSE,5.3,Fifty Shades of Grey,106.581743,/jV8wnk3Jgz6f7degmT3lHNGI2tK.jpg,en,Fifty Shades of Grey,18|10749|53,/zAd0MjURkOvJynIsqmLMBcICxUt.jpg,FALSE,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",2015-02-11,2015
4188,87101,FALSE,5.8,Terminator Genisys,67.645896,/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg,en,Terminator Genisys,878|28|53|12,/bIlYH4l2AyYvEysmS2AOfjO7Dn8.jpg,FALSE,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",2015-06-23,2015
3753,254128,FALSE,6,San Andreas,58.214217,/qey0tdcOp9kCDdEZuJ87yE3crSe.jpg,en,San Andreas,28|18|53,/cUfGqafAVQkatQ7N4y08RNV3bgu.jpg,FALSE,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",2015-05-27,2015
8460,99861,FALSE,7.3,Avengers: Age of Ultron,57.594498,/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,en,Avengers: Age of Ultron,28|12|878,/vXIrvKadue7GdySiVh3huoQZiMi.jpg,FALSE,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015-04-22,2015
9634,140607,FALSE,7.5,Star Wars: The Force Awakens,57.584569,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg,en,Star Wars: The Force Awakens,28|12|878|14,/njv65RTipNSTozFLuF85jL0bcQe.jpg,FALSE,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",2015-12-15,2015
